pr_number,additions,author_account_age_days,author_avg_pr_size,author_followers,author_following,author_public_repos,author_total_buggy_prs,author_total_gists,author_total_prs_in_project,author_total_repos,deletions,description_length,description_unique_words,description_word_count,files_added,files_deleted,files_modified,files_renamed,linked_issue_age_days,linked_issue_comments_count,linked_issue_components_count,linked_issue_description_length,linked_issue_description_unique_words,linked_issue_description_word_count,linked_issue_readability_cli,linked_issue_severity_score,linked_issue_subtasks_count,linked_issue_technical_keyword_count,linked_issue_title_length,linked_issue_title_unique_words,linked_issue_title_word_count,linked_issue_total_interactions,num_commits,pr_lifespan_days,readability_cli,src_churn,src_files_count,technical_keyword_count,test_churn,test_files_count,test_to_src_ratio,title_length,title_unique_words,title_word_count,total_churn,author_is_core_contributor,author_is_frequent_contributor,bug_fix,has_checklist,has_code_blocks,has_config_files,has_doc_files,has_exception_keywords,has_linked_issue,has_log_keywords,has_merge_conflicts,has_screenshots,has_stack_trace,has_urls,has_version_numbers,linked_issue_has_data_loss_keywords,linked_issue_has_error_keywords,linked_issue_has_exception_keywords,linked_issue_has_log_keywords,linked_issue_has_performance_keywords,linked_issue_has_security_keywords,linked_issue_has_stack_trace,linked_issue_has_urls,linked_issue_is_bug,linked_issue_is_enhancement,linked_issue_is_improvement,linked_issue_is_task,pr_was_merged_quickly,test_inclusion,linked_issue_priority,linked_issue_resolution,linked_issue_status,linked_issue_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,bug,security,performance,code_quality_or_maintenability,non_risky
7872,27,4834,0,17,62,62,1,1,3,62,5,544,63,80,0,0,1,0,2161,2,1,904,94,130,12.0,0.0,0,5,41,4,4,2,1,11.26,12.0,32,1,1,0,0,0.0,39,5,5,32,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Minor,Fixed,Resolved,Improvement,0.0,0.0,0.0,1.6925483,0.8824477,1.3805213,0.0,0.0,0.0,1.3869984,0.8889145,0.0,0.0,0.5140262,2.421712,0.0,1.1693918,0.0,0.0,0.87629324,1.7388698,0.0,0.0,1.5154333,0.0,0.0,0.7028607,1.1715759,1.7747422,0.0,1.0914402,0.0,0.0,0.0,0.0,0.0,0.0,0.9932516,1.2220304,0.0,0,0,0,0,1
14411,10,2421,0,1,4,6,0,0,2,6,11,225,26,30,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0.56,12.0,3,1,0,18,2,6.0,56,8,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0.0,0.0,0.0,1.3664064,1.3248359,1.3629861,0.0,0.0,0.0,1.3626817,1.7434365,0.0,0.0,1.0903274,1.4354098,0.0,0.68490046,0.0,0.0,1.0822629,1.0481815,0.0,0.0,1.5089992,0.0,0.0,0.5678594,0.42891365,1.6098105,0.0,0.34154743,0.0,0.0,0.0,0.0,0.0,0.0,2.122832,0.2637956,0.0,1,0,0,0,0
14431,41,6280,0,428,3,42,109,12,815,42,27,1579,124,180,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.63,12.0,68,4,5,0,0,0.0,61,8,8,68,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0.0,0.0,0.0,1.2070576,0.888742,1.223907,0.0,0.0,0.0,1.3353779,0.9811388,0.0,0.0,0.9434015,1.8084164,0.0,1.9272102,0.0,0.0,1.1923584,1.7780725,0.0,0.0,2.5639415,0.0,0.0,1.3694389,0.5152603,1.175256,0.0,1.5243126,0.0,0.0,0.0,0.0,0.0,0.0,0.634299,1.1914243,0.0,0,1,0,0,0
4729,37,6157,0,163,20,59,2,28,147,59,7,652,78,99,0,0,3,0,2811,2,0,1291,132,230,10.3585,0.8,0,2,56,10,10,2,1,1.54,12.0,42,2,3,2,1,0.048,113,16,17,44,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,Major,Fixed,Resolved,Bug,0.0,0.0,0.0,0.5638311,1.4300128,1.6118114,0.0,0.0,0.0,1.1986202,1.286775,0.0,0.0,0.971626,1.7810384,0.0,0.69393605,0.0,0.0,1.7738314,2.0023768,0.0,0.0,1.1250477,0.0,0.0,0.59462726,1.5825192,1.8978163,0.0,1.0913851,0.0,0.0,0.0,0.0,0.0,0.0,1.0609114,0.9611435,0.0,0,0,0,0,1
12661,23,5266,0,40,3,89,17,18,96,89,18,110,17,18,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.14,3.321333333333332,41,4,0,0,0,0.0,81,11,12,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0.0,0.0,0.0,0.44539657,1.0212771,2.5551262,0.0,0.0,0.0,1.2368107,0.3007618,0.0,0.0,1.8091178,2.1281884,0.0,1.2897905,0.0,0.0,1.598222,1.268477,0.0,0.0,1.9896667,0.0,0.0,1.7631763,0.5595883,1.427166,0.0,0.59926873,0.0,0.0,0.0,0.0,0.0,0.0,1.1774967,1.1211706,0.0,0,0,0,0,1
12127,1757,3956,0,421,4,20,128,2,504,20,285,351,48,51,6,1,13,1,1337,0,1,141,3,3,12.0,0.0,0,3,50,7,7,0,3,0.26,12.0,1055,12,2,987,9,0.936,57,6,6,2042,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,Major,Done,Closed,Improvement,0.0,0.0,0.0,1.2836696,1.5800419,1.2579238,0.0,0.0,0.0,1.6682236,0.9629599,0.0,0.0,1.1753302,1.3960363,0.0,1.300489,0.0,0.0,1.9614841,1.2945119,0.0,0.0,1.6704055,0.0,0.0,0.88020915,1.0861785,1.6371529,0.0,1.0256206,0.0,0.0,0.0,0.0,0.0,0.0,1.1616592,0.6243918,0.0,0,0,0,0,1
8692,7,2387,0,3,3,5,0,0,14,5,7,949,103,132,0,0,7,0,2018,0,1,318,39,46,11.81703703703704,0.3,0,1,52,8,8,0,2,8.84,12.0,14,7,1,0,0,0.0,64,9,9,14,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,Major,Fixed,Resolved,Bug,0.0,0.0,0.0,1.434187,0.9324052,1.9243481,0.0,0.0,0.0,1.5365689,1.0450035,0.0,0.0,0.6591129,1.9022603,0.0,1.0821817,0.0,0.0,1.1867845,1.5464813,0.0,0.0,2.1402266,0.0,0.0,1.838138,1.3794254,1.5597038,0.0,1.7240287,0.0,0.0,0.0,0.0,0.0,0.0,0.444846,1.4814736,0.0,0,0,0,0,1
13749,52,5254,0,79,4,68,49,2,312,68,55,414,54,63,0,0,1,0,918,0,0,129,20,20,12.0,0.0,0,0,62,7,7,0,1,1.01,12.0,107,1,1,0,0,0.0,39,4,4,107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Major,Fixed,Resolved,Bug,0.0,0.0,0.0,1.3676037,0.9524904,1.1026541,0.0,0.0,0.0,0.9888918,0.3608724,0.0,0.0,1.24045,2.3751638,0.0,1.2499956,0.0,0.0,1.1550518,1.2976356,0.0,0.0,2.6745915,0.0,0.0,1.3351439,0.564922,0.998643,0.0,0.87046355,0.0,0.0,0.0,0.0,0.0,0.0,0.9110814,0.614216,0.0,0,1,0,0,0
14085,13,4076,0,304,81,10,120,5,788,10,13,95,13,13,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1.04,12.0,26,2,1,0,0,0.0,22,4,4,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.5209737,0.93300384,1.7815509,0.0,0.0,0.0,1.0045854,0.48600563,0.0,0.0,1.6600834,1.7142878,0.0,1.4944927,0.0,0.0,2.0199978,1.7604058,0.0,0.0,1.3266983,0.0,0.0,0.7807553,1.3068058,2.3849301,0.0,0.6054919,0.0,0.0,0.0,0.0,0.0,0.0,0.9634097,0.7387788,0.0,0,0,0,0,1
6785,817,3955,0,421,4,20,128,2,504,20,133,1970,177,296,2,0,14,0,2448,23,1,2350,158,260,12.0,0.2,0,9,84,11,11,23,49,30.64,12.0,632,13,5,318,3,0.503,83,11,12,950,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,Major,Fixed,Resolved,Bug,0.0,0.0,0.0,0.9396377,0.9295675,1.283603,0.0,0.0,0.0,1.3594209,1.7826521,0.0,0.0,1.6304471,1.2008064,0.0,1.0354804,0.0,0.0,1.9047343,1.7182963,0.0,0.0,1.0056314,0.0,0.0,0.038645122,1.6856152,1.2099296,0.0,0.9041045,0.0,0.0,0.0,0.0,0.0,0.0,1.103243,0.894036,0.0,1,0,0,1,0
6648,25,3478,0,52,199,306,4,20,47,306,13,175,19,22,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2.45,12.0,38,2,0,0,0,0.0,94,10,11,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,1.1762172,0.73330015,1.4904227,0.0,0.0,0.0,1.0595422,1.0594567,0.0,0.0,0.79911655,2.1037078,0.0,1.3337138,0.0,0.0,1.3256537,1.4055684,0.0,0.0,1.72103,0.0,0.0,1.6158274,0.041880716,1.5675576,0.0,0.90144956,0.0,0.0,0.0,0.0,0.0,0.0,1.6890332,0.746441,0.0,0,0,0,1,0
