pr_number,additions,author_account_age_days,author_followers,author_following,author_prior_avg_pr_size,author_prior_bug_rate,author_prior_buggy_prs,author_prior_prs_in_project,author_public_repos,author_total_gists,author_total_repos,deletions,description_length,description_unique_words,description_word_count,files_added,files_deleted,files_modified,files_renamed,linked_issue_age_days,linked_issue_comments_count,linked_issue_components_count,linked_issue_description_length,linked_issue_description_unique_words,linked_issue_description_word_count,linked_issue_readability_cli,linked_issue_severity_score,linked_issue_subtasks_count,linked_issue_technical_keyword_count,linked_issue_title_length,linked_issue_title_unique_words,linked_issue_title_word_count,linked_issue_total_interactions,num_commits,pr_lifespan_days,readability_cli,src_churn,src_files_count,technical_keyword_count,test_churn,test_files_count,test_to_src_ratio,title_length,title_unique_words,title_word_count,total_churn,author_is_core_contributor,author_is_first_pr,author_is_frequent_contributor,bug_fix,has_checklist,has_code_blocks,has_config_files,has_doc_files,has_exception_keywords,has_linked_issue,has_log_keywords,has_stack_trace,has_urls,has_version_numbers,linked_issue_has_data_loss_keywords,linked_issue_has_error_keywords,linked_issue_has_exception_keywords,linked_issue_has_log_keywords,linked_issue_has_performance_keywords,linked_issue_has_security_keywords,linked_issue_has_stack_trace,linked_issue_has_urls,linked_issue_is_bug,linked_issue_is_enhancement,linked_issue_is_improvement,linked_issue_is_task,pr_was_merged_quickly,test_inclusion,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,bug,security,performance,code_quality_or_maintenability
5454,33,3478,52,199,0.0,0.0,0,0,306,20,306,14,958,98,134,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,323.74,12.0,47,3,1,0,0,0.0,50,7,7,47,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7422232,2.4101157,1.6039364,0.0,1.5311086,1.4470847,0.0,0.0,1.3681052,1.0299622,0.0,0.0,1.5993625,0.0,1.1482118,2.188273,0.0,0.0,0.89134717,0.65335035,0.0,2.1359162,0.0,1.2696486,1.0297719,0.0,1.0858011,0.0,1.620873,1.7650992,0.84508675,1.8143498,0.0,1.6005492,0.0,0.0,0.0,0.0,0,0,0,1
13850,486,6077,76,52,185.1,0.306,11,36,17,1,17,160,2410,187,339,0,0,6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,8.07,12.0,313,5,9,333,1,1.064,57,6,6,646,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.79508287,1.2440541,1.2592242,0.0,0.8506436,1.0441768,0.0,0.0,0.7729235,1.1797559,0.0,0.0,0.9106865,0.0,0.967616,3.1976352,0.0,0.0,1.3964258,1.7694304,0.0,2.130757,0.0,0.88077545,1.1835554,0.0,0.8972774,0.0,0.60081565,0.5542339,0.72756606,1.5015295,0.0,0.1626213,0.0,0.0,0.0,0.0,1,0,0,0
12031,347,3844,193,0,386.4,0.614,194,316,20,2,20,69,567,57,84,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,2.01,12.0,322,4,1,94,1,0.292,54,6,6,416,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.7088594,1.9292679,1.0563776,0.0,1.0280116,1.6002463,0.0,0.0,1.279208,1.4055684,0.0,0.0,1.5401787,0.0,1.0645614,2.270946,0.0,0.0,0.89772403,1.3232682,0.0,1.8711122,0.0,1.4133002,1.2101272,0.0,0.83420545,0.0,0.61305445,0.9908801,1.9191678,1.4520563,0.0,1.589968,0.0,0.0,0.0,0.0,1,1,0,0
10106,1729,5169,101,0,534.2,0.389,37,95,58,6,58,0,238,28,36,15,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0.73,12.0,900,11,1,829,5,0.921,74,8,8,1729,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.3320011,2.9687276,1.019407,0.0,0.33574492,1.6893483,0.0,0.0,1.7625463,0.58898777,0.0,0.0,0.8119414,0.0,1.0488639,2.6799874,0.0,0.0,1.80148,0.77179056,0.0,2.0939074,0.0,1.6299214,1.7430463,0.0,1.2775724,0.0,0.6401466,1.427751,1.3870915,0.9109625,0.0,0.92779636,0.0,0.0,0.0,0.0,1,0,0,1
7452,73,6280,428,3,388.0,0.436,41,94,42,12,42,6,2042,172,228,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,2.72,12.0,79,3,3,0,0,0.0,35,4,4,79,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.1378204,1.8663844,1.1914486,0.0,1.3124607,1.302863,0.0,0.0,1.2149137,0.84115297,0.0,0.0,1.1163063,0.0,1.6360276,3.010021,0.0,0.0,1.456884,1.1876944,0.0,2.441648,0.0,0.9403763,1.1318997,0.0,1.1435809,0.0,1.3166517,0.7256786,0.74221104,1.1312981,0.0,0.76630676,0.0,0.0,0.0,0.0,1,0,0,0
9290,80,3844,193,0,369.5,0.631,130,206,20,2,20,46,464,57,70,0,0,11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.62,12.0,68,7,1,58,4,0.853,72,10,10,126,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.3667475,2.7792053,1.138767,0.0,1.2810761,1.5184225,0.0,0.0,0.8624156,1.3799592,0.0,0.0,1.2078927,0.0,1.0001886,1.902058,0.0,0.0,0.8403282,1.4494488,0.0,1.7281622,0.0,1.2916124,1.0556927,0.0,1.2928174,0.0,0.36746404,0.48709178,1.8409224,1.4082488,0.0,1.7545468,0.0,0.0,0.0,0.0,1,0,0,0
10203,460,6280,428,3,330.6,0.374,67,179,42,12,42,423,2022,173,292,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,28,8.11,12.0,883,10,4,0,0,0.0,90,12,13,883,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.69357014,2.4282393,1.5199053,0.0,0.9489549,1.2016104,0.0,0.0,0.7664612,1.0602918,0.0,0.0,1.0079317,0.0,1.1644037,2.3560236,0.0,0.0,1.5428393,1.339556,0.0,2.2815347,0.0,1.4655302,0.8245808,0.0,0.60058385,0.0,1.5970865,1.7420768,0.34220737,1.9565256,0.0,1.1580619,0.0,0.0,0.0,0.0,1,1,0,0
11657,1617,5169,101,0,539.9,0.468,72,154,58,6,58,266,1984,150,280,2,0,19,1,1440,2,1,955,81,123,12.0,0.3,0,3,55,9,9,2,4,14.2,12.0,1007,16,4,876,6,0.87,50,7,7,1883,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0.0,0.0,0.67437124,1.0090938,0.7310624,0.0,0.8834229,0.84389883,0.0,0.0,1.3558863,1.310196,0.0,0.0,1.0099343,0.0,0.89340514,3.1220796,0.0,0.0,1.338126,1.4061975,0.0,2.5675032,0.0,1.3708209,1.6444875,0.0,1.0255134,0.0,0.5050631,1.2570856,1.0053525,1.4988508,0.0,0.7329481,0.0,0.0,0.0,0.0,1,0,0,1
6100,78,5287,49,0,359.0,0.434,33,76,48,5,48,78,554,65,87,0,0,5,0,2528,11,1,283,18,18,12.0,0.0,0,2,18,4,4,11,1,0.02,12.0,156,5,1,0,0,0.0,42,6,6,156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.0,0.54154706,2.9961717,0.48885807,0.0,1.3423568,1.4959009,0.0,0.0,1.089689,2.3849468,0.0,0.0,2.1992352,0.0,1.0959976,2.0476694,0.0,0.0,0.93359184,1.1536995,0.0,3.1844277,0.0,0.12572765,0.8157839,0.0,1.779283,0.0,0.9636708,1.3276684,0.91649395,1.3279839,0.0,1.0488931,0.0,0.0,0.0,0.0,0,0,0,0
4530,14,3955,421,4,280.6,0.714,5,7,20,2,20,4,279,35,39,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0.02,12.0,18,4,0,0,0,0.0,30,4,4,18,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0018055,2.849945,1.2941271,0.0,1.8066757,2.0194614,0.0,0.0,1.0046324,1.6327202,0.0,0.0,1.5598058,0.0,1.3624464,1.5406213,0.0,0.0,0.6342802,0.93109643,0.0,1.5680796,0.0,0.91037554,0.84388727,0.0,0.41311836,0.0,1.0732613,1.5464402,2.19476,1.9078861,0.0,2.2662687,0.0,0.0,0.0,0.0,0,0,0,0
10550,514,4378,19,0,543.4,0.463,19,41,14,0,14,272,892,87,127,2,0,24,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10,32.71,12.0,590,15,4,196,11,0.332,47,8,8,786,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.5892883,1.4596375,1.229346,0.0,0.98821574,1.1978725,0.0,0.0,1.3223078,1.5775087,0.0,0.0,1.121173,0.0,0.57764894,2.856455,0.0,0.0,0.7138889,1.1347865,0.0,2.429878,0.0,1.2719287,1.619249,0.0,0.8305295,0.0,0.580371,1.0499374,1.0996912,1.5239314,0.0,0.93167776,0.0,0.0,0.0,0.0,1,0,0,0
10743,2873,5254,79,4,289.5,0.475,19,40,68,2,68,1058,564,65,82,12,1,41,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,41.15,12.0,2182,27,2,1749,27,0.802,74,10,10,3931,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.7346774,3.0228019,0.5377517,0.0,0.99411434,2.5189016,0.0,0.0,0.604943,1.0283138,0.0,0.0,1.37204,0.0,0.50989264,1.9403883,0.0,0.0,1.3765428,1.0719116,0.0,1.7477276,0.0,1.152016,1.6370745,0.0,1.4155805,0.0,0.5670823,0.58374166,1.2758794,0.6809965,0.0,2.1956072,0.0,0.0,0.0,0.0,1,0,0,1
14044,46,3297,22,0,245.9,0.238,10,42,40,0,40,3,1334,68,92,1,0,2,0,861,0,1,476,23,30,12.0,0.0,0,2,65,6,6,0,2,1.19,12.0,5,2,3,44,1,8.8,72,7,7,49,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,1.5360466,1.0177838,1.3273072,0.0,2.2603009,1.0806243,0.0,0.0,1.438816,0.035769075,0.0,0.0,0.70758605,0.0,1.5629182,2.3170013,0.0,0.0,0.7420714,0.35908926,0.0,2.0481896,0.0,1.4277319,2.586473,0.0,1.2386999,0.0,2.515476,0.96781075,1.3937433,1.5620223,0.0,1.3820544,0.0,0.0,0.0,0.0,1,0,0,0
8326,459,4405,39,8,285.6,0.547,47,86,163,0,163,390,215,25,28,2,0,9,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,33.5,12.0,396,7,2,453,5,1.144,63,6,6,849,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.3929807,2.9379773,1.4195948,0.0,1.8436738,1.6807165,0.0,0.0,0.6233931,1.0962663,0.0,0.0,1.288109,0.0,1.2844754,1.7434288,0.0,0.0,0.7614074,1.0588802,0.0,1.1986908,0.0,1.089562,0.9847921,0.0,0.91815895,0.0,0.8776796,1.4603273,1.8413514,2.3430657,0.0,1.5998813,0.0,0.0,0.0,0.0,1,0,1,0
10505,687,5169,101,0,514.9,0.402,45,112,58,6,58,162,893,96,131,0,0,6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,6.92,12.0,471,4,4,378,2,0.803,44,6,6,849,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2219833,1.6175355,1.1661367,0.0,1.0066159,1.3974563,0.0,0.0,0.7945921,0.93792903,0.0,0.0,1.5175736,0.0,0.8638604,2.775467,0.0,0.0,1.1294049,1.2434187,0.0,1.6158108,0.0,0.97590244,1.1795704,0.0,1.5212145,0.0,0.5107258,0.78731495,1.2246917,1.5864024,0.0,0.998176,0.0,0.0,0.0,0.0,1,0,0,1
9582,167,4535,89,0,339.9,0.579,81,140,12,1,12,28,968,106,165,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9,3.75,12.0,91,4,2,104,4,1.143,86,13,14,195,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.5036513,2.289592,1.0329999,0.0,1.5435115,1.8859804,0.0,0.0,1.1517534,1.0857267,0.0,0.0,1.3252404,0.0,1.5358869,2.3839438,0.0,0.0,1.0270718,1.3269601,0.0,1.7653583,0.0,1.2042862,1.0319767,0.0,1.3080417,0.0,0.5026745,0.9292532,1.4644426,1.5857924,0.0,0.96085787,0.0,0.0,0.0,0.0,1,0,0,1
4897,57,4156,146,9,180.8,0.75,12,16,40,0,40,3,0,0,0,1,0,3,0,2897,2,0,646,75,105,12.0,0.3,0,2,48,5,5,2,4,22.09,12.0,9,2,1,51,2,5.667,75,10,10,60,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,1.2109698,2.6826913,0.30133468,0.0,1.211958,0.06905563,0.0,0.0,0.4384155,1.2854583,0.0,0.0,0.9164241,0.0,1.972723,2.4698153,0.0,0.0,0.51358473,0.42417836,0.0,2.1404166,0.0,1.7663423,1.1749629,0.0,0.24277768,0.0,0.840342,2.098782,1.9200286,2.562395,0.0,0.5562438,0.0,0.0,0.0,0.0,1,0,0,0
5014,370,3198,19,8,74.0,0.5,1,2,23,0,23,32,192,20,22,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18,17.87,12.0,402,3,3,0,0,0.0,69,9,9,402,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.674272,2.8247876,1.6877209,0.0,1.0628594,1.2052282,0.0,0.0,0.98314524,0.64934,0.0,0.0,0.88518816,0.0,1.3352687,2.468941,0.0,0.0,0.5931479,0.7404422,0.0,1.3554331,0.0,1.6551918,2.3071008,0.0,1.5310102,0.0,1.01039,0.58497626,1.1589475,1.3324921,0.0,0.91950244,0.0,0.0,0.0,0.0,1,0,0,1
6811,368,3844,193,0,388.6,0.697,69,99,20,2,20,89,630,70,95,0,0,6,0,2377,1,0,222,28,39,12.0,0.0,0,2,75,9,9,1,4,5.78,12.0,161,4,4,296,2,1.839,67,7,7,457,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.4593674,2.0404055,1.4211283,0.0,1.3590146,1.2774059,0.0,0.0,0.8277429,1.2133641,0.0,0.0,1.1905832,0.0,0.6706241,2.3357706,0.0,0.0,0.8468299,1.4063264,0.0,1.4517714,0.0,1.0193819,1.188677,0.0,0.9491636,0.0,0.37641916,0.5671787,2.0806174,1.5512298,0.0,1.5868388,0.0,0.0,0.0,0.0,1,0,0,0
7128,1721,3767,128,1,180.7,0.28,14,50,91,29,91,326,0,0,0,1,0,26,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,43.44,12.0,969,13,2,1078,14,1.112,64,8,8,2047,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.2075105,3.459062,1.3139486,0.0,1.5924776,1.5598722,0.0,0.0,0.4960748,0.67184144,0.0,0.0,1.1247844,0.0,1.2055843,1.979127,0.0,0.0,0.55401707,0.28291738,0.0,1.1665353,0.0,1.2546567,1.4500158,0.0,1.2909608,0.0,0.94225216,1.4846598,1.6172602,2.0998325,0.0,1.160422,0.0,0.0,0.0,0.0,1,0,0,1
7997,6673,3955,421,4,294.6,0.614,86,140,20,2,20,9430,1153,105,155,0,8,78,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,100,13.97,12.0,6563,42,5,9540,45,1.454,57,7,8,16103,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0237452,2.4468472,0.93689764,0.0,0.0,2.9674656,0.0,0.0,0.1734569,0.61299795,0.0,0.0,1.9285481,0.0,0.29751855,1.7005036,0.0,0.0,2.328073,1.3661025,0.0,0.73079157,0.0,0.0038666688,1.0739483,0.0,0.8390243,0.0,2.0639422,1.0217626,0.5081698,0.3066706,0.0,0.24100111,0.0,0.0,0.0,0.046466157,1,0,1,1
13988,15,2372,6,0,373.9,0.375,3,8,6,0,6,1,1266,68,115,0,0,2,0,880,3,0,338,43,50,12.0,0.3,0,1,61,7,7,3,2,0.52,12.0,16,2,4,0,0,0.0,80,9,9,16,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.0,1.5783179,1.8965385,0.86064684,0.0,0.90004754,1.5604616,0.0,0.0,0.49258798,0.87649226,0.0,0.0,1.2357199,0.0,0.9038744,2.0202634,0.0,0.0,1.1465542,1.3938524,0.0,1.6617693,0.0,1.8538109,0.8683252,0.0,0.31417376,0.0,1.1673404,1.0604652,1.5154879,1.3873708,0.0,1.8534797,0.0,0.0,0.0,0.0,0,0,0,1
12615,252,3297,22,0,138.5,0.2,2,10,40,0,40,369,88,9,9,0,0,7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,5.16,12.0,16,2,2,605,5,37.812,74,9,9,621,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4324181,2.6520839,1.0078548,0.0,1.6556121,1.5173918,0.0,0.0,0.7050962,0.80705565,0.0,0.0,1.8328543,0.0,1.4405615,1.6122949,0.0,0.0,0.6697016,0.9233938,0.0,1.7242347,0.0,0.99270093,1.5700883,0.0,1.3229702,0.0,1.8387423,1.0417529,2.1596296,1.988268,0.0,0.9557078,0.0,0.0,0.0,0.0,1,0,0,0
